period_s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4.000000000000000222e-01,2.630150569423011397e+00,2.627468398086244328e+00,2.583251330134759272e+00,2.602706910519853700e+00,2.543290032032190062e+00,2.566459964279860451e+00,2.577238463314477812e+00,2.486127878703975558e+00,2.519595850738689968e+00,2.530439434547056443e+00,2.338404256461376285e+00,2.410070593537195993e+00,2.473530447068593041e+00,2.120176949504688935e+00,2.301586152077543357e+00,2.399515826245904648e+00,1.872591509625189277e+00,2.091271847948340756e+00,2.330139354116863792e+00
5.000000000000000000e-01,2.090046372762018656e+00,2.100457631700027861e+00,2.152752642612995704e+00,2.140740839302412546e+00,2.201261303213076115e+00,2.171122302007866267e+00,2.172919960594408284e+00,2.272727932633519021e+00,2.213817953241343339e+00,2.207898848424664884e+00,2.372043925660283215e+00,2.303588461595331260e+00,2.252392371589744702e+00,2.380455589514633097e+00,2.374378705776887699e+00,2.305836750428087001e+00,2.233395468330130029e+00,2.353768878778972340e+00,2.361623678461207021e+00
7.500000000000000000e-01,1.482593732907925510e+00,1.485511672005047412e+00,1.518372720358427630e+00,1.494408330658408834e+00,1.539125144127813094e+00,1.503932794645938653e+00,1.494671383541507526e+00,1.570945415727058592e+00,1.522547564891728822e+00,1.502341434156009292e+00,1.640416740729101042e+00,1.566036904990406153e+00,1.521578494667227055e+00,1.727216443770466459e+00,1.614639007230502799e+00,1.544251052576217198e+00,1.839771508889097795e+00,1.693218504089375909e+00,1.566391610877019946e+00
1.000000000000000000e+00,1.290480597689536602e+00,1.290878256272278257e+00,1.313489515961650422e+00,1.293843824830344325e+00,1.322601913082170455e+00,1.299560258800868340e+00,1.286694474462247939e+00,1.339375276357424038e+00,1.310538100185573374e+00,1.288115564468281349e+00,1.371807261884939955e+00,1.330438644137808879e+00,1.293411925961836850e+00,1.411128359034078628e+00,1.356459384723799566e+00,1.299082705269374749e+00,1.469371939294977558e+00,1.399262092124464729e+00,1.306285387094540784e+00
1.500000000000000000e+00,1.178903310052608511e+00,1.178624555392277173e+00,1.194301574003074684e+00,1.179134516566491264e+00,1.197727915359148465e+00,1.182726714909126953e+00,1.170656632539587516e+00,1.207936179510622710e+00,1.188739171057862976e+00,1.169659250471449807e+00,1.223829147121065830e+00,1.200411739933277655e+00,1.169812814684380475e+00,1.240208357751592549e+00,1.214392690329979985e+00,1.170753590696731905e+00,1.262174178648631795e+00,1.236350931306041012e+00,1.171842177932144624e+00
2.000000000000000000e+00,1.132097528301498013e+00,1.131972192936124610e+00,1.147786990160214238e+00,1.130935789942354441e+00,1.150379692238606699e+00,1.133229359590801621e+00,1.125688860969539462e+00,1.161164507076862140e+00,1.136879552146232486e+00,1.125209250100666747e+00,1.173795513616077368e+00,1.144242677630350258e+00,1.124430155615267379e+00,1.180152958313337885e+00,1.152669629891227121e+00,1.123883869665674773e+00,1.190888541031924319e+00,1.166151203904312927e+00,1.122919369948937929e+00
3.000000000000000000e+00,1.103348923620674604e+00,1.102372454563689708e+00,1.129500317442318824e+00,1.100119541257037703e+00,1.131020202450910395e+00,1.100177632153470419e+00,1.093675937860544067e+00,1.143512525922281586e+00,1.101376998513476480e+00,1.093366133415107244e+00,1.154207495553081664e+00,1.105360823351949406e+00,1.092228563693164123e+00,1.156425839803718159e+00,1.110550382838314754e+00,1.090600425393732031e+00,1.155561383658881613e+00,1.119376771777678137e+00,1.088147251639337787e+00
4.000000000000000000e+00,1.092230425789497028e+00,1.089950496169026728e+00,1.120538670957321736e+00,1.088310187595340484e+00,1.122886852854665829e+00,1.086978717868455568e+00,1.079793043632284011e+00,1.135748908465524565e+00,1.086246208426211890e+00,1.079363467076184024e+00,1.150084085825995306e+00,1.088191513356687956e+00,1.078106935039007563e+00,1.150890818967621687e+00,1.092021754917953835e+00,1.075955988483775494e+00,1.145701824724235873e+00,1.099279458017694555e+00,1.072667982180487201e+00
5.000000000000000000e+00,1.089271767528642076e+00,1.085253646042402043e+00,1.121521218621600369e+00,1.084287596348224803e+00,1.123190823064678323e+00,1.082682995023883654e+00,1.072688867556127690e+00,1.138079009561448807e+00,1.081291013227771325e+00,1.071905390749661402e+00,1.154741993203955985e+00,1.081816045340084687e+00,1.070555641402080482e+00,1.154221126773530504e+00,1.084992412865161349e+00,1.068454173577033206e+00,1.146653195222090860e+00,1.091608817375649521e+00,1.065083569003439035e+00
7.500000000000000000e+00,1.089692758691389152e+00,1.083244483101239108e+00,1.127114656004834625e+00,1.082838877588605309e+00,1.127959771843141557e+00,1.080210275550691046e+00,1.065693093246055767e+00,1.146789003234679472e+00,1.078548205161030893e+00,1.062681443970161288e+00,1.167931433934378038e+00,1.077807332048056788e+00,1.059496583877471476e+00,1.165421459109980296e+00,1.079985623655052240e+00,1.056476202193972203e+00,1.153254622942055718e+00,1.086186583855024423e+00,1.052505502627502754e+00
1.000000000000000000e+01,1.091836799132483993e+00,1.084632178623487597e+00,1.131776853605314992e+00,1.084386318952564210e+00,1.132723689421272883e+00,1.081348022212004878e+00,1.063149370597523680e+00,1.156478021596278882e+00,1.079372852122233439e+00,1.057608189944319488e+00,1.183684946793735371e+00,1.078606665476011361e+00,1.052279006178808318e+00,1.181924543491650104e+00,1.080719124503203510e+00,1.048372849527441364e+00,1.167139794962911648e+00,1.087609886630194200e+00,1.043920105819803545e+00
