period_s,yr50,yr100,yr250,yr475,yr975,yr2475,yr5000,yr10000
4.298662347082275043e-02,1.336873488109708435e-02,2.956021488229025260e-02,6.405631848201243095e-02,9.495051680034069519e-02,1.537342219209987537e-01,2.479181727455999074e-01,3.023981382726962375e-01,3.340010417545472565e-01
4.641588833612776688e-02,1.363784693949561880e-02,3.034704487185133776e-02,6.659312207933065775e-02,9.790626790714074268e-02,1.575796571653574341e-01,2.544746582262755741e-01,3.128234445334293623e-01,3.475304442921141601e-01
5.011872336272720635e-02,1.398012808895908107e-02,3.080818869184349246e-02,6.735388767903324747e-02,9.953564590056560024e-02,1.618077485675951666e-01,2.602559599662254142e-01,3.203721583455608757e-01,3.599567999870771917e-01
5.411695265464634003e-02,1.465891404524549517e-02,3.197237879112403702e-02,6.933481730470368587e-02,1.026621844931184385e-01,1.647530224374250118e-01,2.630133997392901657e-01,3.306820016453950739e-01,3.653045143564803143e-01
5.843414133735173183e-02,1.481642285138451420e-02,3.281555049986291384e-02,6.996037254247197690e-02,1.036804238982020204e-01,1.655416041252082970e-01,2.659271041865439722e-01,3.390050784662773653e-01,3.757275707462784942e-01
6.309573444801928888e-02,1.481120744187220013e-02,3.250577360852073550e-02,6.901696702280236961e-02,1.034212099420485642e-01,1.641083007109883085e-01,2.652895723235957903e-01,3.420223611085741466e-01,3.808790796888071872e-01
6.812920690579608862e-02,1.516993734310772245e-02,3.248137480335158006e-02,6.847057899362528344e-02,1.010777923221278518e-01,1.595911326761009219e-01,2.581149792748098082e-01,3.338707443147671539e-01,3.903727566735950560e-01
7.356422544596408208e-02,1.594582506638645564e-02,3.363117750321777122e-02,7.097158036536638237e-02,1.023178611049396503e-01,1.570296893374627523e-01,2.542083555887076907e-01,3.278295254237972856e-01,3.892490059646513956e-01
7.943282347242809627e-02,1.690947766185035839e-02,3.554489451994077842e-02,7.528858748816635860e-02,1.078213477048763358e-01,1.619357103088257255e-01,2.527678970851910956e-01,3.266358701048376334e-01,3.952022592080890462e-01
8.576958985908934852e-02,1.680989559368126912e-02,3.600662642145981834e-02,8.030591077923271426e-02,1.164986047332328273e-01,1.726969224649535783e-01,2.604385145078376151e-01,3.349831597753726298e-01,3.959309323584927487e-01
9.261187281287927564e-02,1.640647338831367763e-02,3.501650741261913558e-02,7.989863756907103487e-02,1.178619136389634087e-01,1.851739961108140320e-01,2.783996803771721651e-01,3.497718879925211799e-01,4.031117365114019746e-01
9.999999999999992228e-02,1.621841202967392453e-02,3.418517748629797126e-02,7.939085272289364559e-02,1.182200255847982440e-01,1.852686702578654199e-01,3.010558521261946230e-01,3.761009840571226670e-01,4.334529563153847187e-01
1.079775162327708815e-01,1.668989186178828146e-02,3.494335975242442160e-02,8.116228306924500036e-02,1.215419670268702013e-01,1.885274370470537697e-01,3.079244484714103169e-01,3.951056161800867161e-01,4.630504108694400989e-01
1.165914401179830862e-01,1.774718848174434982e-02,3.667494906764576235e-02,8.219384812288171860e-02,1.245321259984777107e-01,1.924829107441887732e-01,3.125849643317474280e-01,4.190243940745915219e-01,4.849189820186383670e-01
1.258925411794166171e-01,1.850305733642504044e-02,3.806308154987031456e-02,8.415206996966886899e-02,1.262117548928305133e-01,1.954230413038252345e-01,3.243294695767852120e-01,4.299289995740649406e-01,5.198750507099125784e-01
1.359356390878524445e-01,1.916915731117121297e-02,3.924282036711217170e-02,8.428681273940549779e-02,1.291996650224374044e-01,2.001653432751969719e-01,3.312582266909459561e-01,4.440537472701577837e-01,5.510993191676698544e-01
